ip,asn,asn_registry,asn_description,country_rdap,org_name_rdap,rdap_error,arin_handle,arin_name,arin_type,arin_start_ip,arin_end_ip,arin_country,arin_parent,arin_abuse_email,geo_country,geo_region,geo_city,geo_location,org,hostname,reverse_dns,is_valid_ip
182.95.116.82,9498,apnic,"BBIL-AP BHARTI Airtel Ltd., IN",IN,Network Administrator; IRT-BHARTI-IN,,182.95.0.0 - 182.95.127.255,BHARTI-IN,ALLOCATED NON-PORTABLE,182.95.0.0,182.95.127.255,IN,,ip.misuse@airtel.com,IN,Karnataka,Bengaluru,"12.9719,77.5937",AS9498 BHARTI Airtel Ltd.,,,True
221.182.185.190,9808,apnic,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd., CN",CN,chinamobile tech; China Mobile; IRT-CHINAMOBILE-CN,,221.176.0.0 - 221.183.255.255,CMNET,ALLOCATED PORTABLE,221.176.0.0,221.183.255.255,CN,,abuse@chinamobile.com,CN,Guangdong,Guangzhou,"23.1167,113.2500","AS9808 China Mobile Communications Group Co., Ltd.",,,True
140.207.15.4,17621,apnic,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,ChinaUnicom Hostmaster; IRT-CU-CN,,140.206.0.0 - 140.207.255.255,UNICOM-SH,ALLOCATED PORTABLE,140.206.0.0,140.207.255.255,CN,,zhaoyz3@chinaunicom.cn,CN,Shanghai,Shanghai,"31.2222,121.4581",AS17621 China Unicom Shanghai network,,,True
146.190.80.117,14061,arin,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",,"DigitalOcean, LLC; DigitalOcean Abuse; Network Operations Center",,NET-146-190-0-0-1,DO-13,DIRECT ALLOCATION,146.190.0.0,146.190.255.255,,NET-146-0-0-0-0,,SG,Singapore,Singapore,"1.3215,103.6957","AS14061 DigitalOcean, LLC",,,True
65.20.133.56,203214,ripencc,"HULUMTELE, IQ",IQ,ae-earthlink-dmcc-1-mnt; Abuse-C Role; Qussay Alkhateeb; RIPE-NCC-HM-MNT; Earthlink Telecommunications Equipment Trading & Services DMCC,,65.20.128.0 - 65.20.255.255,AE-EARTHLINK-DMCC-20010129,ALLOCATED PA,65.20.128.0,65.20.255.255,IQ,0.0.0.0 - 255.255.255.255,abuse@earthlink.iq,IQ,Baghdad,Baghdad,"33.3406,44.4009",AS203214 Hulum Almustakbal Company for Communication Engineering and Services Ltd,,,True
51.75.194.10,16276,ripencc,"OVH, FR",FR,OVH Technical Contact; OVH-MNT; Abuse-C Role; OVH SAS,,51.75.194.0 - 51.75.195.255,VPS-GRA6,LEGACY,51.75.194.0,51.75.195.255,FR,51.75.0.0 - 51.75.255.255,abuse@ovh.net,FR,Hauts-de-France,Gravelines,"50.9865,2.1281",AS16276 OVH SAS,vps-f8f463b5.vps.ovh.net,vps-f8f463b5.vps.ovh.net,True
182.95.232.186,9498,apnic,"BBIL-AP BHARTI Airtel Ltd., IN",IN,Network Administrator; IRT-BHARTI-IN,,182.95.128.0 - 182.95.255.255,BHARTI-IN,ALLOCATED NON-PORTABLE,182.95.128.0,182.95.255.255,IN,,ip.misuse@airtel.com,IN,West Bengal,Kolkata,"22.5626,88.3630",AS9498 BHARTI Airtel Ltd.,,,True
193.163.125.99,211298,ripencc,"DRIFTNET, GB",GB,Driftnet Hostmaster; lir-uk-driftnet-1-MNT,,193.163.125.0 - 193.163.125.127,DRIFTNET-IPV4-A,LIR-PARTITIONED PA,193.163.125.0,193.163.125.127,GB,193.163.125.0 - 193.163.125.255,network-abuse@driftnet.io,GB,England,Salford,"53.4877,-2.2904",AS211298 Driftnet Ltd,charming.census.internet-measurement.com,charming.census.internet-measurement.com,True
64.227.49.195,14061,arin,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",,"DigitalOcean, LLC; DigitalOcean Abuse; Network Operations Center",,NET-64-227-0-0-2,DIGITALOCEAN-64-227-0-0,DIRECT ALLOCATION,64.227.0.0,64.227.127.255,,NET-64-0-0-0-0,,US,California,Santa Clara,"37.3541,-121.9552","AS14061 DigitalOcean, LLC",prod-boron-sfo2-7.do.binaryedge.ninja,prod-boron-sfo2-7.do.binaryedge.ninja,True
61.138.113.187,4837,apnic,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",cn,honghui yuan,,61.138.113.128 - 61.138.113.255,ICDHL,ASSIGNED NON-PORTABLE,61.138.113.128,61.138.113.255,cn,,,CN,Beijing,Beijing,"39.9075,116.3972",AS4837 CHINA UNICOM China169 Backbone,,,True
103.255.134.61,134291,apnic,"TFAQ-AS-IN TECHNO FAQ DIGITAL MEDIA, IN",IN,SUNIT NANDI; IRT-TFAQ-IN; PROPRIETOR TFAQ,,103.255.134.0 - 103.255.135.255,TFAQ,ASSIGNED PORTABLE,103.255.134.0,103.255.135.255,IN,,abuse@technofaq.org,IN,West Bengal,Kolkata,"22.5626,88.3630",AS134291 TECHNO FAQ DIGITAL MEDIA,,,True
118.193.36.205,135377,apnic,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",HK,UCLOUD INFORMATION TECHNOLOGY HK LIMITED; IRT-UCLOUD-HK,,118.193.36.0 - 118.193.36.255,UCLOUD-HK,ALLOCATED NON-PORTABLE,118.193.36.0,118.193.36.255,HK,,hegui@ucloud.cn,HK,Hong Kong,Hong Kong,"22.2783,114.1747",AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,,True
157.10.52.221,151858,apnic,"INTERDIGI-VN INTERDIGI JOINT STOCK COMPANY, VN",VN,IRT-VNNIC-AP; Tran Hoang Tu Anh; Le Tien Binh,,157.10.52.0 - 157.10.53.255,SUCCESS-VN,ASSIGNED PORTABLE,157.10.52.0,157.10.53.255,VN,,hm-changed@vnnic.vn,VN,Ho Chi Minh City (HCMC),Ho Chi Minh City,"10.8230,106.6296",AS151858 INTERDIGI JOINT STOCK COMPANY,,,True
194.127.165.69,212512,ripencc,"DETAI, GB",US,Detai Prosperous Technologies Limited; DETAI-MNT; owl,,194.127.165.0 - 194.127.165.255,DETAI,ASSIGNED PA,194.127.165.0,194.127.165.255,US,194.127.164.0 - 194.127.167.255,abuse@resec.ai,US,New York,New York City,"40.7143,-74.0060",AS212512 Detai Prosperous Technologies Limited,,,True
161.35.17.41,14061,arin,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",,"DigitalOcean, LLC; DigitalOcean Abuse; Network Operations Center",,NET-161-35-0-0-1,DIGITALOCEAN-161-35-0-0,DIRECT ALLOCATION,161.35.0.0,161.35.255.255,,NET-161-0-0-0-0,,DE,Hesse,Frankfurt am Main,"50.1155,8.6842","AS14061 DigitalOcean, LLC",,,True
195.184.76.217,213412,ripencc,"ONYPHE, FR",US,Abuse-C Role; RIPE-NCC-HM-MNT; ONYPHE SAS; lir-fr-onyphe-1-MNT; Admin,,195.184.76.0 - 195.184.76.255,FR-ONYPHE-20221109,ALLOCATED PA,195.184.76.0,195.184.76.255,US,0.0.0.0 - 255.255.255.255,abuse@onyphe.io,US,Virginia,Warrenton,"38.7135,-77.7953",AS213412 ONYPHE SAS,adelaide.probe.onyphe.net,adelaide.probe.onyphe.net,True
185.93.89.64,213790,ripencc,"LIMITEDNETWORK-AS, GB",AE,Limited Network LTD; LimitedNetwork-MNT; DWCI NET; wcd; Abuse contact role object,,185.93.89.0 - 185.93.89.127,AMWAJ,LIR-PARTITIONED PA,185.93.89.0,185.93.89.127,AE,185.93.89.0 - 185.93.89.255,abuse@btcloud.ro,NL,Limburg,Kerkrade,"50.8658,6.0625",AS213790 Limited Network LTD,,,True
91.231.89.79,213412,ripencc,"ONYPHE, FR",FR,Abuse-C Role; RIPE-NCC-HM-MNT; ONYPHE SAS; lir-fr-onyphe-1-MNT; Admin,,91.231.89.0 - 91.231.89.255,FR-ONYPHE-20191111,ALLOCATED PA,91.231.89.0,91.231.89.255,FR,0.0.0.0 - 255.255.255.255,abuse@onyphe.io,FR,Hauts-de-France,Gravelines,"50.9865,2.1281",AS213412 ONYPHE SAS,barker.probe.onyphe.net,barker.probe.onyphe.net,True
165.154.172.135,135377,apnic,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",US,UCLOUD INFORMATION TECHNOLOGY HK LIMITED; IRT-UCLOUD-HK,,165.154.172.0 - 165.154.173.255,UCLOUD-US,ALLOCATED NON-PORTABLE,165.154.172.0,165.154.173.255,US,,hegui@ucloud.cn,US,California,Los Angeles,"34.0522,-118.2437",AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,,True
103.175.225.238,63859,apnic,"MYREPUBLIC-AS-ID PT. Eka Mas Republik, ID",ID,ID-NIC ADMINISTRATORS; ID-NIC HOSTMASTERS; IRT-IDNIC-ID,,0.0.0.0 - 255.255.255.255,IANA-BLOCK,ALLOCATED PORTABLE,0.0.0.0,255.255.255.255,ID,,abuse@idnic.net,ID,Central Java,Muntilan,"-7.5811,110.2928",AS63859 PT. Eka Mas Republik,,,True
66.132.186.247,398324,arin,"CENSYS-ARIN-01 - Censys, Inc., US",,"Censys Abuse Team; Censys Operations Team; Censys, Inc.; Censys Legal Team",,NET-66-132-186-0-1,CENSY,DIRECT ALLOCATION,66.132.186.0,66.132.186.255,,NET-66-0-0-0-0,,US,Illinois,Chicago,"41.8500,-87.6500","AS398324 Censys, Inc.",247.186.132.66.censys-scanner.com,247.186.132.66.censys-scanner.com,True
130.61.73.99,31898,arin,"ORACLE-BMC-31898 - Oracle Corporation, US",,Oracle Bare Metal Operations; ORACLEROUTING; Oracle Public Cloud,,NET-130-61-0-0-2,OOC-195,ASSIGNMENT,130.61.0.0,130.61.255.255,,NET-130-61-0-0-1,,DE,Hesse,Frankfurt am Main,"50.1025,8.6299",AS31898 Oracle Corporation,mail.tvujnovinar.cz,mail.tvujnovinar.cz,True
52.21.227.35,14618,arin,"AMAZON-AES - Amazon.com, Inc., US",,Amazon EC2 Network Operations; Amazon EC2 Abuse; Amazon AWS Network Operations; Amazon Technologies Inc.; IP Routing,,NET-52-0-0-0-1,AT-88-Z,DIRECT ALLOCATION,52.0.0.0,52.79.255.255,,NET-52-0-0-0-0,,US,Virginia,Ashburn,"39.0437,-77.4875","AS14618 Amazon.com, Inc.",ec2-52-21-227-35.compute-1.amazonaws.com,ec2-52-21-227-35.compute-1.amazonaws.com,True
190.117.96.174,12252,lacnic,"America Movil Peru S.A.C., PE",,Claro Lacnic; America Movil Peru S.A.C.,,190.116.0.0/15,190.116.0.0 - 190.117.255.255,ALLOCATED,190.116.0.0,190.117.255.255,,190.0.0.0/8,claro_lacnic@claro.com.pe,PE,Lima Province,Lima,"-12.0432,-77.0282",AS12252 America Movil Peru S.A.C.,,,True
199.45.154.182,398722,arin,"CENSYS-ARIN-03 - Censys, Inc., US",,"Censys Abuse Team; Censys Operations Team; Censys, Inc.; Censys Legal Team",,NET-199-45-154-0-1,CENSY,DIRECT ALLOCATION,199.45.154.0,199.45.155.255,,NET-199-0-0-0-0,,HK,Hong Kong,Hong Kong,"22.2783,114.1747","AS398722 Censys, Inc.",182.154.45.199.censys-scanner.com,182.154.45.199.censys-scanner.com,True
172.172.214.224,8075,ripencc,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",US,"MICROSOFT-MAINT; Divya Quamara; Microsoft Abuse Contact; Microsoft Routing, Peering, and DNS",,172.172.0.0 - 172.172.255.255,cloud,ASSIGNED PA,172.172.0.0,172.172.255.255,US,172.128.0.0 - 172.215.255.255,abuse@microsoft.com,US,Virginia,Washington,"38.7135,-78.1594",AS8075 Microsoft Corporation,,,True
185.220.101.176,60729,ripencc,"TORSERVERS-NET, DE",US,ZWIEBELFREUNDE; RELAYON-MNT; CIA TRIAD SECURITY LLC,,185.220.101.112 - 185.220.101.191,RELAYON,ASSIGNED PA,185.220.101.112,185.220.101.191,US,185.220.100.0 - 185.220.103.255,abusecontact@relayon.org,DE,State of Berlin,Berlin,"52.5244,13.4105",AS60729 Stiftung Erneuerbare Freiheit,tor-exit-176.relayon.org,tor-exit-176.relayon.org,True
104.28.235.58,13335,arin,"CLOUDFLARENET - Cloudflare, Inc., US",,"Cloudflare-NOC; Abuse; Admin; Cloudflare, Inc.; NOC",,NET-104-16-0-0-1,CLOUDFLARENET,DIRECT ALLOCATION,104.16.0.0,104.31.255.255,,NET-104-0-0-0-0,abuse@cloudflare.com,US,Washington,Seattle,"47.6062,-122.3321","AS13335 Cloudflare, Inc.",,,True
4.210.91.174,8075,arin,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",,"Prachi Singh; Microsoft Corporation; Microsoft Abuse Contact; Dawn Bedard; IPHostmaster IPHostmaster; Microsoft Routing, Peering, and DNS",,NET-4-208-0-0-2,MSFT,DIRECT ALLOCATION,4.208.0.0,4.223.255.255,,NET-4-0-0-0-0,,IE,Leinster,Dublin,"53.3331,-6.2489",AS8075 Microsoft Corporation,,,True
46.101.107.202,14061,ripencc,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DE,Abuse Department; DigitalOcean Network Operations; digitalocean,,46.101.96.0 - 46.101.127.255,DIGITALOCEAN,ASSIGNED PA,46.101.96.0,46.101.127.255,DE,46.101.0.0 - 46.101.255.255,abuse@digitalocean.com,DE,Hesse,Frankfurt am Main,"50.1155,8.6842","AS14061 DigitalOcean, LLC",,,True
80.82.70.133,202425,ripencc,"INT-NETWORK, SC",NL,IP Volume inc; IPV ABUSE ROLE; IPV,,80.82.70.0 - 80.82.70.255,NET-1-70,ASSIGNED PA,80.82.70.0,80.82.70.255,NL,80.82.64.0 - 80.82.79.255,abuse@ipvolume.net,NL,North Holland,Amsterdam,"52.3740,4.8897",AS202425 IP Volume inc,rnd.group-ib.com,rnd.group-ib.com,True
165.154.163.199,135377,apnic,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",US,UCLOUD INFORMATION TECHNOLOGY HK LIMITED; IRT-UCLOUD-HK,,165.154.162.0 - 165.154.163.255,UCLOUD-US,ALLOCATED NON-PORTABLE,165.154.162.0,165.154.163.255,US,,hegui@ucloud.cn,US,California,Los Angeles,"34.0522,-118.2437",AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,,True
211.103.219.51,4808,apnic,"CHINA169-BJ China Unicom Beijing Province Network, CN",CN,IRT-DXTNET-CN; Xu Fuyuan,,211.103.128.0 - 211.103.255.255,DXTNET,ALLOCATED PORTABLE,211.103.128.0,211.103.255.255,CN,,Xufuyuan@btte.net,CN,Beijing,Beijing,"39.9075,116.3972",AS4808 China Unicom Beijing Province Network,,,True
194.127.165.47,212512,ripencc,"DETAI, GB",US,Detai Prosperous Technologies Limited; DETAI-MNT; owl,,194.127.165.0 - 194.127.165.255,DETAI,ASSIGNED PA,194.127.165.0,194.127.165.255,US,194.127.164.0 - 194.127.167.255,abuse@resec.ai,US,New York,New York City,"40.7143,-74.0060",AS212512 Detai Prosperous Technologies Limited,,,True
83.150.21.135,8758,ripencc,"IWAY, CH",CH,AS8758-MNT; Christian Renner; Nick Graf; Matthias Cramer; Interway Communication NOC role account,,83.150.20.0 - 83.150.23.255,AS8758-DYNAMIC-DSL-DHCP-POOL,ASSIGNED PA,83.150.20.0,83.150.23.255,CH,83.150.0.0 - 83.150.63.255,abuse@as8758.net,CH,Zurich,Zürich,"47.3667,8.5500",AS8758 Iway AG,135.21.150.83.bbcs.as8758.net,135.21.150.83.bbcs.as8758.net,True
193.163.125.139,211298,ripencc,"DRIFTNET, GB",GB,Driftnet Hostmaster; lir-uk-driftnet-1-MNT,,193.163.125.128 - 193.163.125.255,DRIFTNET-IPV4-B,LIR-PARTITIONED PA,193.163.125.128,193.163.125.255,GB,193.163.125.0 - 193.163.125.255,network-abuse@driftnet.io,GB,England,Salford,"53.4877,-2.2904",AS211298 Driftnet Ltd,fantastic.census.internet-measurement.com,fantastic.census.internet-measurement.com,True
66.132.195.25,398324,arin,"CENSYS-ARIN-01 - Censys, Inc., US",,"Censys Abuse Team; Censys Operations Team; Censys, Inc.; Censys Legal Team",,NET-66-132-195-0-1,CENSY,DIRECT ALLOCATION,66.132.195.0,66.132.195.255,,NET-66-0-0-0-0,,US,Illinois,Chicago,"41.8500,-87.6500","AS398324 Censys, Inc.",25.195.132.66.censys-scanner.com,25.195.132.66.censys-scanner.com,True
117.205.2.250,9829,apnic,"BSNL-NIB National Internet Backbone, IN",IN,IRT-BSNL-IN; CGM Data Networks; NS Cell; Bharat Sanchar Nigam Ltd,,117.192.0.0 - 117.255.255.255,BSNLNET,ALLOCATED PORTABLE,117.192.0.0,117.255.255.255,IN,,abuse1@bsnl.co.in,IN,Maharashtra,Bārāmati,"18.1517,74.5777",AS9829 National Internet Backbone,,,True
74.248.144.184,8075,arin,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",,BHM ADSL CBB; Microsoft Corporation,,NET-74-248-128-0-1,BLS-74-248-128-0-1003020949,ASSIGNMENT,74.248.128.0,74.248.191.255,,NET-74-248-0-0-1,,PL,Mazovia,Warsaw,"52.2298,21.0118",AS8075 Microsoft Corporation,,,True
36.134.138.153,9808,apnic,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd., CN",CN,haijun li; China Mobile Communications Corporation; chinamobile tech; IRT-CHINAMOBILE2-CN,,36.128.0.0 - 36.191.255.255,CMNET,ALLOCATED PORTABLE,36.128.0.0,36.191.255.255,CN,,abuse@chinamobile.com,CN,Jiangsu,Suzhou,"31.3041,120.5954","AS9808 China Mobile Communications Group Co., Ltd.",,,True
65.49.1.38,6939,arin,"HURRICANE - Hurricane Electric LLC, US",,"NOC; The Shadowserver Foundation, Inc.; Abuse",,NET-65-49-1-0-1,HURRICANE-CE2897-409C062A,ALLOCATION,65.49.1.0,65.49.1.255,,NET-65-49-0-0-1,,US,California,San Francisco,"37.7749,-122.4194",AS6939 Hurricane Electric LLC,scan-54a.shadowserver.org,scan-54a.shadowserver.org,True
102.69.239.225,328465,afrinic,"Integrated-Payment-Services-AS, KE",KE,INTEGRATED PAYMENT SERVICES LIMITED; Judith Mwangoe; Gordon Otieno,,102.69.239.0 - 102.69.239.255,ORG-IPSL1-AFRINIC,ASSIGNED PI,102.69.239.0,102.69.239.255,KE,102.0.0.0 - 102.255.255.255,,KE,Nairobi County,Nairobi,"-1.2833,36.8167",AS328465 INTEGRATED PAYMENT SERVICES LIMITED,,,True
139.59.58.25,14061,apnic,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",IN,Digital Ocean Inc administrator; IRT-DIGITALOCEAN-AP,,139.59.56.0 - 139.59.63.255,DIGITALOCEAN-AP,ASSIGNED NON-PORTABLE,139.59.56.0,139.59.63.255,IN,,abuse@digitalocean.com,IN,Karnataka,Bāshettihalli,"13.2257,77.5750","AS14061 DigitalOcean, LLC",,,True
58.98.197.137,9595,apnic,"XEPHION NTT-ME Corporation, JP",JP,Japan Network Information Center; IRT-JPNIC-JP,,58.98.128.0 - 58.98.255.255,XEPHION,,58.98.128.0,58.98.255.255,JP,,hostmaster@nic.ad.jp,JP,Fukuoka,Fukuoka,"33.6000,130.4167",AS9595 NTT-ME Corporation,g137.58-98-197.ppp.wakwak.ne.jp,g137.58-98-197.ppp.wakwak.ne.jp,True
4.213.160.153,8075,arin,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",,"Prachi Singh; Microsoft Corporation; Dawn Bedard; Somesh Chaturmohta; Microsoft Routing, Peering, and DNS",,NET-4-208-0-0-2,MSFT,DIRECT ALLOCATION,4.208.0.0,4.223.255.255,,NET-4-0-0-0-0,,IN,Maharashtra,Pune,"18.5196,73.8554",AS8075 Microsoft Corporation,,,True
103.82.37.34,149089,apnic,"CLOUDFLY-VN CLOUDFLY CORPORATION, VN",VN,IRT-VNNIC-AP; Nguyen Minh Hai; Luu Van Vuong,,103.82.36.0 - 103.82.39.255,CLOUDFLY-VN,ALLOCATED PORTABLE,103.82.36.0,103.82.39.255,VN,,hm-changed@vnnic.vn,VN,Ho Chi Minh City (HCMC),Ho Chi Minh City,"10.8230,106.6296",AS149089 CLOUDFLY CORPORATION,103.82.37.34.cloudfly.vn,103.82.37.34.cloudfly.vn,True
103.101.203.244,36007,arin,"KAMATERA - Kamatera, Inc., US",,"Cloud Web Manage; Kamatera, Inc.",,NET-103-101-203-0-1,KAMATERA-US-CH,ASSIGNMENT,103.101.203.0,103.101.203.255,,NET-103-101-200-0-1,,US,Illinois,Chicago,"41.8713,-87.6277","AS36007 Kamatera, Inc.",m3134-r2.cloud-network.biz,m3134-r2.cloud-network.biz,True
129.121.79.67,31898,arin,"ORACLE-BMC-31898 - Oracle Corporation, US",,"EIG Network Operations; Network Operations Center; Abuse; Oso Grande IP Services, LLC; EIG-Abuse Mitigation",,NET-129-121-0-0-1,OGTIPS1-129-121,DIRECT ALLOCATION,129.121.0.0,129.121.255.255,,NET-129-0-0-0-0,IARPOC@Newfold.com,US,Virginia,Ashburn,"39.0437,-77.4875",AS31898 Oracle Corporation,129-121-79-67.unifiedlayer.com,129-121-79-67.unifiedlayer.com,True
176.65.148.95,51396,ripencc,"PFCLOUD Pfcloud UG, DE",NL,Admin; pfcloud-mnt; MNT-ZEXOTEK; Pfcloud UG,,176.65.148.0 - 176.65.148.255,PF-CLOUD-NET-1,ASSIGNED PA,176.65.148.0,176.65.148.255,NL,176.65.128.0 - 176.65.159.255,abuse@pfcloud.io,NL,Limburg,Hopel,"50.8924,6.0505",AS51396 Pfcloud UG,176.65.148.95.ptr.pfcloud.network,176.65.148.95.ptr.pfcloud.network,True
20.65.195.47,8075,arin,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",,"Microsoft Corporation; Prachi Singh; Dawn Bedard; Microsoft Routing, Peering, and DNS",,NET-20-33-0-0-1,MSFT,DIRECT ALLOCATION,20.33.0.0,20.128.255.255,,NET-20-0-0-0-0,,US,Texas,San Antonio,"29.4241,-98.4936",AS8075 Microsoft Corporation,azpdss2naw0i.stretchoid.com,azpdss2naw0i.stretchoid.com,True
176.65.149.45,51396,ripencc,"PFCLOUD Pfcloud UG, DE",NL,Admin; pfcloud-mnt; MNT-ZEXOTEK; Pfcloud UG,,176.65.149.0 - 176.65.149.255,PFCLOUD-NET-2,ASSIGNED PA,176.65.149.0,176.65.149.255,NL,176.65.128.0 - 176.65.159.255,abuse@pfcloud.io,NL,Limburg,Hopel,"50.8924,6.0505",AS51396 Pfcloud UG,176.65.149.45.ptr.pfcloud.network,176.65.149.45.ptr.pfcloud.network,True
45.148.10.196,48090,ripencc,"DMZHOST, GB",AD,ABUSE DEP; TECHOFF-MNT; TECHOFF SRV LIMITED,,45.148.10.0 - 45.148.10.255,DMZHOST,ASSIGNED PA,45.148.10.0,45.148.10.255,AD,45.148.8.0 - 45.148.11.255,dmzhostabuse@gmail.com,NL,North Holland,Amsterdam,"52.3740,4.8897",AS48090 TECHOFF SRV LIMITED,,,True
165.154.163.10,135377,apnic,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",US,UCLOUD INFORMATION TECHNOLOGY HK LIMITED; IRT-UCLOUD-HK,,165.154.162.0 - 165.154.163.255,UCLOUD-US,ALLOCATED NON-PORTABLE,165.154.162.0,165.154.163.255,US,,hegui@ucloud.cn,US,California,Los Angeles,"34.0522,-118.2437",AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,,True
209.38.30.64,14061,arin,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",,"DigitalOcean, LLC; DigitalOcean Abuse; Network Operations Center",,NET-209-38-0-0-1,DO-13,DIRECT ALLOCATION,209.38.0.0,209.38.255.255,,NET-209-0-0-0-0,,AU,New South Wales,Sydney,"-33.8678,151.2073","AS14061 DigitalOcean, LLC",,,True
91.231.89.177,213412,ripencc,"ONYPHE, FR",FR,Abuse-C Role; RIPE-NCC-HM-MNT; ONYPHE SAS; lir-fr-onyphe-1-MNT; Admin,,91.231.89.0 - 91.231.89.255,FR-ONYPHE-20191111,ALLOCATED PA,91.231.89.0,91.231.89.255,FR,0.0.0.0 - 255.255.255.255,abuse@onyphe.io,FR,Hauts-de-France,Gravelines,"50.9865,2.1281",AS213412 ONYPHE SAS,keelan.probe.onyphe.net,keelan.probe.onyphe.net,True
103.1.210.25,38731,apnic,"VTDC-AS-VN Vietel - CHT Compamy Ltd, VN",VN,Dau Khac Thanh; IRT-VNNIC-AP; Nguyen Dinh Tuan,,103.1.208.0 - 103.1.211.255,VTDC-VN,ALLOCATED PORTABLE,103.1.208.0,103.1.211.255,VN,,hm-changed@vnnic.vn,VN,Hanoi,Hanoi,"21.0245,105.8412",AS38731 Vietel - CHT Compamy Ltd,,,True
91.231.89.56,213412,ripencc,"ONYPHE, FR",FR,Abuse-C Role; RIPE-NCC-HM-MNT; ONYPHE SAS; lir-fr-onyphe-1-MNT; Admin,,91.231.89.0 - 91.231.89.255,FR-ONYPHE-20191111,ALLOCATED PA,91.231.89.0,91.231.89.255,FR,0.0.0.0 - 255.255.255.255,abuse@onyphe.io,FR,Hauts-de-France,Gravelines,"50.9865,2.1281",AS213412 ONYPHE SAS,alexandra.probe.onyphe.net,alexandra.probe.onyphe.net,True
91.231.89.176,213412,ripencc,"ONYPHE, FR",FR,Abuse-C Role; RIPE-NCC-HM-MNT; ONYPHE SAS; lir-fr-onyphe-1-MNT; Admin,,91.231.89.0 - 91.231.89.255,FR-ONYPHE-20191111,ALLOCATED PA,91.231.89.0,91.231.89.255,FR,0.0.0.0 - 255.255.255.255,abuse@onyphe.io,FR,Hauts-de-France,Gravelines,"50.9865,2.1281",AS213412 ONYPHE SAS,hilton.probe.onyphe.net,hilton.probe.onyphe.net,True
49.43.32.40,55836,apnic,"RELIANCEJIO-IN Reliance Jio Infocomm Limited, IN",IN,Reliance Jio Infocomm Limited; IRT-RELIANCEJIO-IN,,49.32.0.0 - 49.47.255.255,RELIANCEJIO-IN,ALLOCATED PORTABLE,49.32.0.0,49.47.255.255,IN,,ip.abuse@ril.com,IN,Gujarat,Surat,"21.1959,72.8302",AS55836 Reliance Jio Infocomm Limited,,,True
91.231.89.60,213412,ripencc,"ONYPHE, FR",FR,Abuse-C Role; RIPE-NCC-HM-MNT; ONYPHE SAS; lir-fr-onyphe-1-MNT; Admin,,91.231.89.0 - 91.231.89.255,FR-ONYPHE-20191111,ALLOCATED PA,91.231.89.0,91.231.89.255,FR,0.0.0.0 - 255.255.255.255,abuse@onyphe.io,FR,Hauts-de-France,Gravelines,"50.9865,2.1281",AS213412 ONYPHE SAS,harold.probe.onyphe.net,harold.probe.onyphe.net,True
120.48.102.177,38365,apnic,"BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd., CN",CN,Baidu Noc,,120.48.0.0 - 120.49.255.255,Baidu,ALLOCATED PORTABLE,120.48.0.0,120.49.255.255,CN,,,CN,Beijing,Beijing,"39.9075,116.3972","AS38365 Beijing Baidu Netcom Science and Technology Co., Ltd.",,,True
165.154.206.204,142002,apnic,"SCLOUDPTELTD-AS Scloud Pte Ltd, SG",SG,Scloud Pte Ltd administrator; IRT-SCLOUDPTELTD-SG; Scloud Pte Ltd,,165.154.192.0 - 165.154.207.255,SCLOUDPTELTD-SG,ALLOCATED PORTABLE,165.154.192.0,165.154.207.255,SG,,enquiry@scloud.sg,US,California,Los Angeles,"34.0522,-118.2437",AS142002 Scloud Pte Ltd,,,True
